Name,AMR,apol,nAtom,nHeavyAtom,nC,ATS1m,ATS0v,ATS1v,ATS2v,ATS3v,ATS4v,ATS5v,ATS6v,ATS7v,ATS0e,ATS1e,ATS2e,ATS3e,ATS4e,ATS5e,ATS6e,ATS7e,ATS0p,ATS1p,ATS2p,ATS3p,ATS4p,ATS5p,ATS0i,ATS1i,ATS2i,ATS3i,ATS1s,ATSC0v,SpAbs_DzZ,SpMax_DzZ,SpDiam_DzZ,SpAD_DzZ,SpMAD_DzZ,EE_DzZ,SpAbs_Dzm,SpMax_Dzm,SpDiam_Dzm,SpAD_Dzm,SpMAD_Dzm,EE_Dzm,SpAbs_Dzv,SpMax_Dzv,SpDiam_Dzv,SpAD_Dzv,SpMAD_Dzv,EE_Dzv,SpAbs_Dze,SpMax_Dze,SpDiam_Dze,SpAD_Dze,SpMAD_Dze,EE_Dze,SpAbs_Dzp,SpMax_Dzp,SpDiam_Dzp,SpAD_Dzp,EE_Dzp,VR3_Dzp,SpAbs_Dzi,SpMax_Dzi,SpDiam_Dzi,SpAD_Dzi,SpMAD_Dzi,EE_Dzi,VR3_Dzi,nBonds,nBonds2,nBondsS,nBondsS2,nBondsS3,SP-0,SP-1,SP-2,SP-3,SP-4,VP-0,VP-1,VP-2,Sv,Sse,Spe,Sare,Sp,Si,CrippenMR,SpMax_Dt,SpDiam_Dt,SpAD_Dt,EE_Dt,ECCEN,ETA_Alpha,ETA_Beta_s,ETA_Eta,ETA_Eta_R,ETA_Eta_L,ETA_Eta_R_L,TIC0,TIC1,TIC2,TIC3,TIC4,TIC5,ZMIC0,Kier1,Kier2,Kier3,McGowan_Volume,MLFER_L,MPC2,MPC3,piPC1,SpMax_D,SpDiam_D,SpAD_D,SpMAD_D,EE_D,VABC,VAdjMat,MWC2,MWC3,MWC4,MWC5,TWC,SRW2,SRW4,SRW6,SRW8,MW,WTPT-1,WPATH,WPOL,Zagreb,y
AUTOGEN_molecule_208,100.2047,50.11948099999998,42,25,18,4426.560959,9801.080306850894,12107.303445985664,17184.696572443936,18408.447739736523,17039.85276497954,15201.14133142284,13591.148152312442,12175.641574398274,327.6547879999998,346.6590680000003,545.6079560000003,692.3703799999997,750.3443359999998,684.8177720000004,596.8272280000006,533.7741720000001,65.095027382433,81.18887321999998,118.02693198454692,129.00026385679192,121.88145173848986,110.96675989643286,6853.001379687233,6644.715281366303,10658.687122609945,13997.052711753331,162.91666666666666,1993.969997513274,227.5946152953042,114.107454999287,178.41634235920597,228.51747243816124,9.14069889752645,114.107454999287,227.63622536977613,114.12663329729884,178.4459733343044,228.5566097282384,9.142264389129531,114.12663329729884,280.7530028231621,138.69204927134885,216.5565295504373,279.1246665969754,11.164986663879017,138.69204927134885,227.8748047431478,114.239559725625,178.62360735909326,228.7855162133064,9.151420648532252,114.239559725625,306.8800604005544,150.25277444851116,234.0628457107719,303.6992032803764,150.25277444851116,13.309617389952898,219.44346268106705,110.16096683147478,172.11419149548414,220.56257506834112,8.822503002733642,110.16096683147478,13.558281931339891,27.0,44.0,34.0,34.0,17.0,17.811190308942127,12.0585506480638,10.741723029771444,9.034733675664889,7.114488422588948,13.346233783389703,7.618843768250845,5.434689333159084,27.8249523712599,42.52367079388205,41.325490196078405,41.90000000000003,29.04160538922158,319.6200784431138,94.39150000000004,212.9978227089412,308.2574212559617,425.9956454178823,212.9978227089412,617,11.66666,15.75,17.86223,42.56385,5.21876,12.0585,68.32217295505373,143.11908532041673,175.1931192415637,207.7224442545445,216.47733175670805,214.47733175670805,81.69776502499246,19.753086419753085,9.273922571219869,5.041666666666667,2.5054000000000007,15.639,37.0,48.0,3.6375861597263857,143.46585307285795,222.05262538578472,286.931706145716,11.47726824582864,143.46585307285795,296.31447329795697,5.643856189774724,4.859812404361672,5.700443573390687,6.561030665896573,7.417580402414544,126.62383314789736,4.007333185232471,5.313205979041787,6.810142450115136,8.386400901166214,335.1382247840005,50.68420834055991,1730.0,37.0,128.0,1
AUTOGEN_molecule_065,121.1883,56.56389499999998,42,27,20,5771.928214000002,11487.646651672794,13795.8525234327,20338.65525016556,23381.409015363144,22800.21521027076,21717.70192107814,19599.92501735139,15476.396734875549,328.43900299999984,350.40848000000017,578.0277400000002,739.4378300000006,745.7253710000005,731.7928680000006,705.7005640000002,622.3178820000007,84.63519757273491,97.68883264,147.9694039693961,175.67855459479213,174.07699155109407,159.03848690964108,6572.472039230134,6447.959269415904,11007.061481058096,14380.07848683678,136.6738683127572,2155.6809050793136,193.8549480805138,97.35441530332986,144.79975471470533,195.29810867808624,7.233263284373562,97.35441530332986,193.73298584484405,97.30280191161404,144.74569644309477,195.19103826236284,7.229297713420846,97.30280191161404,256.39021473190013,127.05522241130625,189.11662435003976,255.73992555121828,9.471849094489563,127.05522241130625,223.6899113313035,111.78048357497714,168.1041528059238,224.4204128088462,8.31186714106838,111.78048357497714,259.8830107366416,128.2569173956207,190.06090677578547,258.7844254791198,128.2569173956207,15.983429856040422,226.28973826544484,112.86847548250796,170.84541630185703,226.9353002145904,8.405011119058901,112.86847548250796,16.03970197613032,30.0,45.0,35.0,35.0,20.0,18.96589084732138,13.041713895658196,11.955341169556498,10.296791921260438,8.831197185425777,16.698466394803916,9.869954013156525,7.923876730182104,30.421164868715632,42.58667152221417,41.356862745098006,41.52400000000003,32.79275149700601,312.99297305389223,105.13070000000002,302.9688934141523,426.9667229771063,605.9377868283046,302.9688934141523,596,13.79524,17.5,25.4186,49.3293,6.47454,13.04165,74.68052342266944,151.8090412563095,175.68334423723672,208.96755675238109,215.72244425454457,215.7224442545445,85.02647585804607,20.28,8.788534342888047,4.302212008043665,2.8285999999999984,15.998,43.0,59.0,3.713572066704308,141.54002082624197,212.9475666951096,283.08004165248394,10.48444598712904,141.54002082624197,336.6973963304627,5.754887502163469,4.990432586778736,5.860786223465865,6.7580945044277305,7.647308832356238,134.01105455381435,4.110873864173311,5.4510384535657,7.002155954403621,8.653296274408579,415.0312884600005,55.64542627885251,1846.0,47.0,146.0,1
AUTOGEN_molecule_148,117.8211,60.52665299999997,49,28,22,5431.771065,11729.631781895214,14831.74542833653,20750.05491429621,22030.76620588613,21222.526827929752,20005.56793445103,19267.94808767813,17914.80661644685,373.0312849999997,400.16772,646.5099160000002,802.0656480000005,837.7064020000003,799.5328740000011,706.6514119999999,743.9360240000005,84.01907900182887,104.76962246999996,152.83586919909408,163.92108163503718,159.6331077167352,151.54032695867818,7784.699093724328,7541.415595910504,12620.972960271083,16208.46585679899,162.35493827160494,2555.3985287126607,264.0464184139646,132.16555086561564,200.265717360116,265.0451429037604,9.465897960848585,132.16555086561564,264.06924423795965,132.17481924666396,200.2790495193028,265.0665666354374,9.466663094122762,132.17481924666396,329.8141985887954,163.80774960263858,252.36241503006,328.55832547290777,11.734225909746709,163.80774960263858,288.2654547558882,144.32480054483733,222.0194830103395,289.04263200755014,10.322951143126794,144.32480054483733,340.05721564968127,168.08139591884307,258.0166580210458,337.6194994960073,168.08139591884307,15.452672205830623,288.1147462060677,144.221464683443,222.6893480206201,288.84948070331444,10.316052882261229,144.221464683443,16.597382913791613,31.0,52.0,42.0,42.0,21.0,19.672997628507925,13.491203638441371,12.53300743634454,10.041340138451623,7.675952747268137,16.306307975778296,9.996924691254268,8.101242460975357,32.57973559943006,49.04989075018214,47.4039215686274,47.94000000000005,35.057876047904216,367.95946886227546,113.19980000000004,258.2514385384867,379.4946892297869,516.5028770769734,258.2514385384867,751,13.69999,17.25,24.9322,49.48776,7.09558,13.49114,78.01973337110724,174.06213233568357,219.08168234433745,247.61100735731824,256.3658948594818,254.36589485948176,89.49761591323639,21.24037460978148,9.427685950413224,5.586776859504132,2.9243,17.447999999999997,44.0,54.0,3.737669618283368,170.193108773341,258.3033190852381,340.386217546682,12.156650626667217,170.193108773341,349.65745674189094,5.807354922057604,5.017279836814924,5.8664680569332965,6.739336627357174,7.60339933974067,135.3158396359211,4.143134726391533,5.476463551931511,6.987490247000991,8.57300625623545,391.1354479120006,56.81827677382852,2297.0,41.0,150.0,1
AUTOGEN_molecule_058,126.3387,56.49672299999998,39,28,19,6430.815641000002,11947.736689025922,13837.380971919923,20672.67076295878,23708.72183635734,22527.901854505257,21333.064737134755,19336.20721164016,15392.57749567521,318.17588099999983,333.48213600000014,545.3725560000003,714.2078350000004,675.4352379999999,657.6071510000002,647.673686,570.5949540000005,89.57264595333892,97.7269554,150.05244370484905,179.59185621509414,169.47915952169808,155.830608350547,6042.325930676938,6000.713530652303,10017.18469059685,13509.33584562175,128.49279835390945,1833.036149687834,200.6668345759004,101.4047686295685,152.02193966234046,202.8907241317225,7.246097290418663,101.4047686295685,200.3910690565624,101.28866566152678,151.89654086210086,202.64641984861345,7.237372137450481,101.28866566152678,271.94446430602284,134.914657636868,201.5155481838158,271.3875989690226,9.692414248893666,134.914657636868,237.3406756215018,118.8136043113041,179.60379094439344,238.3562462764489,8.512723081301745,118.8136043113041,273.15443314308976,135.12758341078606,200.9505439250269,272.3335547329449,135.12758341078606,17.275958789576663,241.24565033893708,120.47593763587714,183.24944459404807,242.0740528300989,8.645501886789248,120.47593763587714,16.784690278375777,31.0,42.0,32.0,32.0,21.0,19.83613433532446,13.435560745775549,12.589108364288006,10.616821726974155,9.166227744780423,17.888902963669654,10.414531034707164,8.5767595109105,30.51922104620393,40.34195193008014,39.384313725490166,39.26800000000002,32.80642095808385,289.2092532934132,108.6347,316.1821595627132,447.2755814102856,632.3643191254264,316.1821595627132,659,14.72382,18.5,27.61655,52.3542,6.76899,13.43549,74.61142847302582,138.13068653562766,156.62091153130075,193.37579903346412,198.13068653562763,198.1306865356277,95.42870291256814,21.24037460978148,9.013333333333334,4.541789841440473,2.9324999999999988,17.063,45.0,61.0,3.737669618283368,152.97135000669465,231.4334793655116,305.9427000133894,10.926525000478192,152.97135000669465,349.8235472454624,5.807354922057604,5.030437921392435,5.899897353582492,6.80128303447162,7.68937110752969,136.39497649089165,4.143134726391533,5.493061443340548,7.046647277848756,8.698681067461614,468.9376936920003,57.495141788802,2068.0,49.0,152.0,1
AUTOGEN_molecule_246,111.5981,56.30665299999997,48,27,20,4807.441528999999,10772.449088073276,13263.81155667164,18902.989816509275,20844.27944984108,19735.229088349053,18147.71335714264,16293.164540445814,13854.626776550178,369.60967599999975,390.3486120000002,637.2596480000001,779.7531640000001,912.0348480000006,773.5175640000001,765.3028200000006,657.9473000000011,72.4512790018289,90.07719447999996,130.790441688792,147.32265098479218,142.47426441813118,133.70643999703702,7846.260699964228,7495.484959291104,12843.260138013184,15718.185004500032,171.58333333333334,2343.209422731837,266.6212456115684,133.62063336090534,209.47288660881128,267.56569005601267,9.909840372444917,133.62063336090534,266.6712436166599,133.6440056051798,209.507972584248,267.6131574337996,9.911598423474056,133.6440056051798,330.6689803103049,163.64971194325943,254.65179874164903,328.9838829084778,12.18458825586955,163.64971194325943,266.96315794836323,133.78359939580506,209.72036870758976,267.8951726108063,9.922043430029865,133.78359939580506,361.37063903205615,177.49764346314993,275.0843785529711,358.0281190695908,177.49764346314993,14.861323495905657,256.4845957456336,128.68140142877294,201.87205786090365,257.6298862004462,9.54184763705356,128.68140142877294,15.020237667251674,29.0,50.0,40.0,40.0,19.0,19.38854057813175,12.96923425058676,11.600839786167985,9.88706152797618,7.517936232937311,15.216097109700035,8.448202622405928,6.270018318456351,30.90860797883164,48.29934450109256,46.77647058823524,47.42000000000005,32.638714371257514,365.6765886227545,103.89110000000004,237.3287844056926,345.874219707689,474.6575688113851,237.3287844056926,710,12.66666,17.25,20.82085,47.87446,5.79064,12.96918,75.79133178407747,169.57470657059758,205.28421251514425,233.81353752812507,242.56842503028875,242.5684250302886,89.06226821703525,21.70273483947681,10.15625,5.538461538461538,2.7872000000000026,15.9,40.0,52.0,3.688879454113936,166.91089892242866,259.75682386972994,333.8217978448573,12.363770290550272,166.91089892242866,330.90644254969084,5.754887502163469,4.934473933130692,5.777652323222656,6.639875833826536,7.498315870766981,131.35490305437787,4.07753744390572,5.389071729816501,6.890609120147166,8.470311205516108,363.1695249120006,54.51795024218704,2176.0,41.0,138.0,1
AUTOGEN_molecule_087,105.5925,55.78265299999997,46,25,20,4796.931653000002,10600.32431933597,13380.90238455365,20098.39842540939,22662.308156109728,22281.341018284023,22305.40578107447,22344.890396516257,21250.491694537643,344.7802329999998,375.0403460000003,653.7325600000005,849.7292320000007,940.7265940000004,919.212298,863.1065399999995,897.1100779999996,74.70727100182887,93.70305849999998,144.8048426339431,171.78404555758425,170.84928562062137,167.01894622577237,7432.277493366128,7172.052600883304,13216.58098452774,17703.046570585237,136.57613168724276,2417.7061134505934,198.1623222155888,99.2292808074461,137.80403303498534,199.0584307572485,7.96233723028994,99.2292808074461,198.09729227424867,99.2021662977536,137.77488519993352,199.00320778273283,7.9601283113093135,99.2021662977536,216.69137816000617,107.0206828782984,146.74343077282347,215.97497223006445,8.638998889202579,107.0206828782984,200.68147642588409,100.2760393814066,138.9412287535838,201.2384967147526,8.049539868590102,100.2760393814066,224.1310991854193,109.77529654989432,150.2406140794636,223.0278297942599,109.77529654989432,17.140173387191744,198.8434504712833,99.37562776089524,137.94786201177803,199.54986891553432,7.981994756621373,99.37562776089524,17.752229851180903,28.0,49.0,41.0,41.0,20.0,17.225403871315223,12.220346690612276,10.92040367435163,9.348294554128996,7.833521844578748,15.000113752980385,9.030783068466503,7.117655885024249,29.8119020964787,45.74034959941738,44.12549019607839,44.52400000000003,32.324941916167695,348.4295407185629,104.25100000000002,223.11224745277585,289.0652186407964,446.2244949055517,223.11224745277585,487,12.31429,16.0,23.28787,42.86927,6.60596,12.2203,67.40662220252138,162.7996374634783,209.8191874721321,223.32896247645905,225.32896247645905,225.32896247645905,84.15955648509185,18.367346938775512,8.347140039447732,4.135279458882165,2.669800000000003,12.910000000000002,39.0,53.0,3.610917912644224,119.3840846965882,164.1157549869153,238.7681693931765,9.550726775727057,119.3840846965882,310.4567554116352,5.643856189774724,4.90527477843843,5.765191102784844,6.650279048587422,7.535296702444088,129.02696749670176,4.04305126783455,5.3612921657094255,6.882437470997847,8.492285555710053,352.1454743520006,51.84111019223667,1433.0,39.0,134.0,1
AUTOGEN_molecule_033,106.1185,55.122273999999976,44,26,22,4765.600834000002,10850.135931128749,13873.017774300662,19895.061429702168,21899.402832287924,20954.19670080567,20520.73354292097,19851.871615353382,19533.27638810332,327.6302479999998,365.6054320000003,598.7110720000002,745.8664720000004,740.8684119999999,752.2644440000001,704.2146800000003,691.6127160000001,74.19883228728189,95.46859757999997,140.55100181454702,158.97599824788622,153.1863090733392,149.15193972273525,6962.9538216564815,6902.530039232204,11822.271851477544,15371.799087767478,146.27777777777777,2240.1655483054096,203.1800158077169,100.5470070158106,140.67065184889836,203.4877081154092,7.826450312131124,100.5470070158106,203.19271265580085,100.55380394961894,140.67847144289647,203.49963611714708,7.826909081428733,100.55380394961894,221.8955727809312,109.71528498740976,151.65453381532154,221.01128919502628,8.500434199808701,109.71528498740976,203.2723237767408,100.59641229356734,140.7275003941516,203.5744286849822,7.829785718653161,100.59641229356734,231.01991819531847,113.87968047673922,156.96759021303092,229.58495316035345,113.87968047673922,15.118110446928826,200.29243023950423,98.99028539331228,138.89079395947243,200.7775831927977,7.722214738184527,98.99028539331228,14.11907142113156,30.0,48.0,37.0,37.0,19.0,17.346724214874865,12.88214273316075,11.367663363655684,10.253217021290912,8.386270307211191,14.33837795583499,8.906425050726064,6.603238486552442,29.90830449826987,43.64311726147127,42.29803921568624,42.75200000000002,31.82172095808386,329.7215413173653,105.45900000000005,276.18304885721795,381.7252976279915,552.3660977144359,276.18304885721795,548,12.6,16.75,19.61282,43.61238,5.98492,12.8821,59.04884558405893,132.85674478374986,180.240822769004,214.21499122004104,222.21499122004104,226.21499122004104,84.3012837558762,18.05555555555556,8.16326530612245,3.8058029301924736,2.5916000000000032,14.904,42.0,59.0,3.737669618283368,128.9004038478031,182.1885869509612,257.8008076956063,9.91541568060024,128.9004038478031,298.6718220897352,5.700439718141093,4.976733742420574,5.849324779946859,6.734591659972948,7.622174594817622,132.71557209582804,4.110873864173311,5.468060141135132,7.023758954738443,8.663714844079005,338.1531465760005,54.74035967822511,1615.0,42.0,144.0,1
AUTOGEN_molecule_178,129.9982,75.90978999999994,65,35,25,6770.28528,14226.269483650987,18015.470556628967,26309.755652601,27817.634582517123,26473.56082660781,25355.670518111623,24928.734132280184,23589.71839053076,500.0756329999996,528.315548,921.0243720000004,1250.8441420000015,1294.0331280000014,1172.5764000000015,1107.2020660000005,1067.2529020000006,100.6604991454698,126.52586125999996,192.98376268364112,212.03966154971533,202.31909054280936,194.33122626735644,10648.512504445072,10102.393547701598,18424.60354885261,26542.075630115385,207.4382716049384,3269.917293433108,455.1076188234055,228.2406021654364,350.325362185101,456.82955759891536,13.052273074254728,228.2406021654364,455.1622900683249,228.2648839866528,350.359850528802,456.88115366223326,13.053747247492378,228.2648839866528,579.5710699573883,287.9729226503045,448.92199226718265,577.4601040084863,16.498860114528178,287.9729226503045,489.75559562582816,245.5590317734868,383.1758697714165,491.22448055063256,14.0349851585895,245.5590317734868,608.6796658811397,300.5413688232073,465.3482778043641,604.8554049017791,300.5413688232073,25.068991446588004,484.2569122396497,242.7142636047315,380.1232834996359,485.73508331617006,13.878145237604857,242.7142636047315,21.862745216235176,38.0,68.0,58.0,58.0,28.0,24.62274509681375,16.991203638441373,15.023562528623764,12.339558866899528,9.54915131172732,20.298837739861323,12.741761924962663,9.93505969660322,41.0066505190312,65.36525855790251,63.09411764705873,63.94400000000008,44.10765868263477,495.73625748503,134.69780000000006,379.665393374507,561.9338569352398,759.3307867490139,379.665393374507,1216,16.73332,22.25,36.21356,66.0925,9.9689,16.99114,107.88612272773548,244.3792453898845,302.276635957116,338.92458283386884,349.84426737241284,349.45390784684963,114.69885060116076,28.01939058171745,14.235294117647058,8.5,3.7051,21.144,51.0,64.0,3.8918202981106265,278.1825318841296,430.27766260609314,556.3650637682592,15.896144679093124,278.1825318841296,443.3259179445528,6.129283016944966,5.187385805840755,6.013715156042802,6.86171134048073,7.703910209616311,150.04484523370832,4.343805421853684,5.638354669333745,7.104144092987527,8.640648995343156,494.2100098200009,71.28485317633977,4702.0,48.0,178.0,1
AUTOGEN_molecule_047,125.4703,59.657480999999976,45,28,21,5940.406511000002,11973.331042283986,14448.842657923064,21393.67690332752,25137.58126158149,25000.47580717564,23721.0186810742,21279.251767033176,16959.28110908864,349.4164469999998,372.18426000000017,620.3817960000003,783.8439360000006,833.2480070000001,818.5183800000004,833.7565080000008,686.4240020000005,88.31332338243288,102.70482126,155.99458699394316,189.28876353994312,193.5881937007921,175.84883342479202,7069.101699368633,6880.998720931704,11968.525697023744,15190.1391006956,142.78497942386832,2358.246580509898,204.6259063958663,102.73638050194612,152.5957396349641,206.1103001533692,7.361082148334613,102.73638050194612,204.50214597802915,102.6838596812758,152.53990881336568,206.00185703604853,7.3572091798588755,102.6838596812758,269.59059431401704,133.6530458857948,199.2301466973059,268.9266435959259,9.604522985568778,133.6530458857948,236.4063379985872,118.136244833644,177.82387746870137,237.1521861458262,8.46972093377951,118.136244833644,272.48293526800205,134.55415690320763,199.53853347252772,271.3612704882635,134.55415690320763,18.06885513027737,239.4104526757573,119.42638888234744,180.98455618634475,240.0695768507252,8.573913458954468,119.42638888234744,17.479661409516762,31.0,48.0,38.0,38.0,21.0,19.836134335324456,13.452397498181156,12.482846618290996,10.75782471388027,9.260137220888918,17.62111612561429,10.28662067982319,8.347734602301664,31.9629926725015,45.47450837581942,44.08235294117642,44.284000000000034,34.591305988023976,336.0212281437126,108.77070000000003,319.2008382907038,452.2969409755673,638.4016765814079,319.2008382907038,619,14.29524,18.0,28.2276,52.70996,6.84947,13.45233,78.65296765306216,165.1333893348354,186.86872682834505,217.62361433050845,223.62361433050847,227.6236143305085,88.85832818487364,21.24037460978148,9.013333333333334,4.396462018730489,2.969499999999999,16.474,45.0,62.0,3.737669618283368,149.59967079055212,225.53866299585053,299.19934158110425,10.685690770753723,149.59967079055212,353.9933809563296,5.807354922057604,5.030437921392435,5.905361848054571,6.807934943699926,7.700295203420117,136.50368030796213,4.143134726391533,5.493061443340548,7.051855622955894,8.710619527942297,429.0469385240005,57.49244537033891,2028.0,50.0,152.0,1
AUTOGEN_molecule_114,116.64079999999998,61.878238999999965,52,29,21,5565.971961000002,11789.027833354889,14671.123221532123,21885.376004401274,25162.87423177003,25367.546023374423,25976.59374612958,25490.162314464804,23260.55760148591,399.5126649999996,428.0820820000004,745.7067120000007,943.2727200000008,1101.5489460000006,1049.2890500000003,1146.8103560000009,1065.7100860000012,81.44860081152686,100.87668711999996,154.54223761849016,184.52972558273527,185.7017460612254,191.3123556367354,8536.838564927126,8196.343943694104,15211.315828036988,19356.09509069968,166.57613168724282,2602.6555226102178,269.91376623798897,135.34919594615775,197.37953674154625,271.2750851700481,9.354313281725796,135.34919594615775,269.8717211942032,135.33293132285297,197.3689558008677,271.2421187985208,9.35317651029382,135.33293132285297,318.4965175266242,157.4035508312994,228.066141420638,317.0343996391125,10.932220677210776,157.4035508312994,272.6017708530934,136.47752550638253,198.5596222623469,273.6038743927491,9.43461635837066,136.47752550638253,340.41577336508647,166.85643816820675,241.9790634473308,337.8229677041646,166.85643816820675,16.68352662090891,265.9829637091348,133.21337251259538,193.99179662350747,267.21812991590537,9.21441827296225,133.21337251259538,16.23380317815548,32.0,55.0,46.0,46.0,23.0,20.38010440969447,14.041713895658194,12.678445306467774,10.899414512166052,8.762753077990315,17.225438965254536,9.989131624267348,7.837159739171732,33.58445613677996,52.28514202476336,50.58431372549013,51.14000000000006,35.92110119760482,397.0184245508982,115.205,270.10337550399936,360.5066343808153,540.2067510079988,270.10337550399936,665,13.94762,19.5,27.83798,53.81877,7.29739,14.04165,84.6324994713446,194.55838148036892,243.3034498645732,252.9130903390099,254.91309033900984,254.9130903390099,96.37444579643382,22.203125,10.08,5.08680462241333,3.026000000000004,15.5,45.0,61.0,3.737669618283368,162.47500187058162,233.0142570931687,324.9500037411633,11.205172542798731,162.47500187058162,355.90002845359646,5.857980995127573,5.043425116919247,5.905361848054571,6.790097235513905,7.674617497364363,138.24867620654567,4.174387269895637,5.501258210544727,7.027314514039777,8.638525476583762,410.1621870360007,59.53611416073751,2259.0,47.0,154.0,1
